Point Id	Point Class	Date/Time	[ X ]	[ Y ]	[ Z ]	Ortho. Hgt.	Geoid Sep.	Posn. + Hgt. Qlty
NLCH	Reference	09/09/2019 09:09:44	43° 28' 57.77407" N	43° 37' 19.69732" E	392.0270	487.1005	-95.0735	0.0000
0001	Measured	09/09/2019 13:30:24	43° 12' 23.72178" N	42° 44' 57.10201" E	2749.4912	2834.7775	-85.2862	0.0064
0002	Measured	09/09/2019 13:53:44	43° 12' 23.40287" N	42° 44' 57.78853" E	2750.0170	2835.3031	-85.2861	0.0088
0003	Measured	09/09/2019 15:17:24	43° 12' 21.73890" N	42° 45' 03.36125" E	2749.3074	2834.5938	-85.2865	0.0069
0004	Measured	09/09/2019 15:44:04	43° 12' 22.90577" N	42° 45' 05.74470" E	2772.7274	2858.0164	-85.2890	0.2155
0005	Measured	09/09/2019 15:48:14	43° 12' 22.89692" N	42° 45' 05.73910" E	2773.2668	2858.5558	-85.2890	0.0098
0006	Measured	09/09/2019 16:14:14	43° 12' 24.75749" N	42° 44' 58.84268" E	2748.6901	2833.9784	-85.2883	0.0117
0007	Measured	09/09/2019 17:08:24	43° 12' 17.99317" N	42° 44' 52.70586" E	2641.9349	2727.2120	-85.2771	0.0084
0008	Measured	09/09/2019 17:36:24	43° 12' 16.75674" N	42° 44' 57.46149" E	2648.5578	2733.8354	-85.2776	0.0152
0009	Measured	09/10/2019 11:03:04	43° 12' 13.69082" N	42° 44' 43.38564" E	2614.8369	2700.1045	-85.2677	0.2933
0010	Measured	09/10/2019 11:37:44	43° 12' 12.44421" N	42° 44' 45.16183" E	2623.1982	2708.4650	-85.2669	0.0044
0011	Measured	09/10/2019 12:42:44	43° 12' 13.96871" N	42° 44' 44.52604" E	2613.6340	2698.9025	-85.2685	0.0091
0012	Measured	09/10/2019 15:25:04	43° 12' 20.41165" N	42° 44' 33.87669" E	2581.0468	2666.3187	-85.2719	0.0094
0013	Measured	09/10/2019 15:32:44	43° 12' 20.50852" N	42° 44' 34.04948" E	2580.6159	2665.8880	-85.2720	0.0092
0014	Measured	09/10/2019 15:40:24	43° 12' 20.59187" N	42° 44' 34.19325" E	2580.2265	2665.4987	-85.2722	0.0076
0015	Measured	09/10/2019 15:47:44	43° 12' 20.70457" N	42° 44' 34.11006" E	2580.0483	2665.3206	-85.2723	0.0098
0016	Measured	09/11/2019 13:21:24	43° 12' 10.34517" N	42° 44' 35.63930" E	2731.0189	2816.2791	-85.2602	0.0035
0017	Measured	09/11/2019 13:48:14	43° 12' 06.68808" N	42° 44' 39.89392" E	2763.5676	2848.8250	-85.2575	0.0043
0018	Measured	09/12/2019 11:39:34	43° 12' 21.20736" N	42° 44' 35.31539" E	2580.0811	2665.3546	-85.2735	0.0127
0019	Measured	09/12/2019 11:48:54	43° 12' 20.19496" N	42° 44' 33.39789" E	2583.6103	2668.8817	-85.2714	0.0136
0020	Measured	09/12/2019 11:57:04	43° 12' 19.80637" N	42° 44' 34.08133" E	2585.3298	2670.6010	-85.2712	0.0166
