start;end;p
2017-06-06 19:30:00;2017-06-06 21:30:00;16.4
2017-06-07 21:00:00;2017-06-07 22:00:00;4.4
2017-06-10 16:30:00;2017-06-10 23:30:00;11.2
2017-06-12 14:00:00;2017-06-12 16:00:00;3.7
2017-06-14 16:00:00;2017-06-15 3:00:00;20.9
2017-06-16 5:00:00;2017-06-16 12:00:00;6.6
2017-06-18 6:00:00;2017-06-19 9:00:00;57.9
2017-06-21 12:00:00;2017-06-21 21:30:00;18.5
2017-06-28 18:00:00;2017-06-28 20:00:00;2.6
2017-07-04 14:00:00;2017-07-04 16:00:00;0.7
2017-07-04 21:30:00;2017-07-04 22:00:00;2.3
2017-07-04 23:30:00;2017-07-05 9:00:00;10.5
2017-07-07 7:00:00;2017-07-07 9:00:00;7
2017-07-13 21:30:00;2017-07-13 23:50:00;3.6
2017-07-14 16:40:00;2017-07-14 18:15:00;2.3
2017-07-22 21:00:00;2017-07-23 10:30:00;12.9
2017-07-24 19:00:00;2017-07-25 10:00:00;24.8
2017-07-29 0:00:00;2017-07-29 0:40:00;0.1
2017-07-29 13:00:00;2017-07-29 15:00:00;0.3
2017-08-03 18:30:00;2017-08-03 19:30:00;1.4
2017-08-05 15:00:00;2017-08-05 19:00:00;4.3
2017-08-06 22:00:00;2017-08-06 23:00:00;8.5
2017-08-12 15:45:00;2017-08-12 17:00:00;0.4
2017-08-15 12:30:00;2017-08-15 19:00:00;5.5
2017-08-18 17:30:00;2017-08-19 2:00:00;26
2017-08-19 16:00:00;2017-08-19 19:00:00;0.7
2017-08-23 0:15:00;2017-08-23 2:30:00;11.5
2017-08-23 14:15:00;2017-08-23 18:30:00;13.5
2017-08-25 17:30:00;2017-08-25 19:30:00;4.9
2017-08-28 15:00:00;2017-08-29 6:30:00;12.9
2017-08-29 8:30:00;2017-08-29 13:30:00;15.5
2017-08-30 7:30:00;2017-08-30 11:30:00;14.3
2017-08-30 23:00:00;2017-08-31 14:00:00;36.8
2017-08-31 20:00:00;2017-09-01 1:30:00;97.2
2017-09-01 20:00:00;2017-09-02 5:30:00;17.8
2017-09-06 21:00:00;2017-09-07 11:30:00;3.4
2017-09-22 13:00:00;2017-09-22 13:15:00;0.4
